INSTNM,CITY,STABBR,ZIP,INSTURL
U S Grant Joint Vocational School,Bethel,OH,45106,www.grantcareer.com
CC's Cosmetology College,Tulsa,OK,74129,www.ccscosmetologycollege.org
CC's Cosmetology College,Oklahoma City,OK,73112,http://www.ccscosmetology.com
CC's Cosmetology College,Sapulpa,OK,74066,http://www.ccscosmetology.edu
CC's Cosmetology College-Texarkana,Texarkana,TX,75501,http://www.ccscosmetology.edu
CC's Cosmetology College-Texarkana,Texarkana,AR,71854,http://www.ccscosmetology.edu
Chisholm Trail Technology Center,Omega,OK,73764-6335,www.cttc.edu
Gordon Cooper Technology Center,Shawnee,OK,74804,www.gctech.org
Kiamichi Technology Center-Atoka,Atoka,OK,74525-0240,www.ktc.edu
Kiamichi Technology Center-Durant,Durant,OK,74701-1904,https://www.ktc.edu
Kiamichi Technology Center-Hugo,Hugo,OK,74743,www.ktc.edu
Kiamichi Technology Center-McAlester,McAlester,OK,74501,www.ktc.edu/Template0.asp?pg=128
Kiamichi Technology Center-Idabel,Idabel,OK,74745-2415,www.ktc.edu
Kiamichi Technology Center-Poteau,Poteau,OK,74953,www.ktc.edu
Kiamichi Technology Center-Spiro,Spiro,OK,74959,www.ktc.edu/locations/spiro.aspx
Kiamichi Technology Center-Talihina,Talihina,OK,74571,www.ktc.edu
Le Cordon Bleu College of Culinary Arts-Portland,Portland,OR,97205-2793,www.chefs.edu/portland
YTI Career Institute-Altoona,Altoona,PA,16602,www.yti.edu
YTI Career Institute - Altoona,Altoona,PA,166024457,http://www.yti.edu
Eastern Center for Arts and Technology,Willow Grove,PA,19090,www.eastech.org
Empire Beauty School-Center City Philadelphia,Philadelphia,PA,19102-2701,www.empire.edu
Sanford-Brown Institute-Wilkins Township,Pittsburgh,PA,15235,www.sbwilkinstownship.com
Centro de Estudios Multidisciplinarios-Humacao,Humacao,PR,00791-4210,www.cempr.edu
Colegio Mayor de Tecnologia Inc,Arroyo,PR,00714-1490,www.cmtarroyo.com
Institucion Chaviano de Mayaguez,Mayaguez,PR,680,www.mayaguezinstituteoftechnology.net
EDIC College,Caguas,PR,00725-0000,www.ediccollege.edu
Liceo de Arte-Dise-O y Comercio,Caguas,PR,725,www.liceocaguas.com
Universal Technology College of Puerto Rico,Aguadilla,PR,603, Accrediting Council for Independent Colleges and Schools
Academy of Hair Technology,Greenville,SC,29615-2363,www.hairchamps.com
Mr Wayne's School of Unisex Hair Design,Cookeville,TN,38501,www.misterwaynes.com
Southern Institute of Cosmetology,Memphis,TN,38118-3239,sicbeautyschool.com
Queen City College,Clarksville,TN,37042,www.queencitycollege.com
College of the Marshall Islands,Majuro,MH,96960,www.cmi.edu
American National College,South Houston,TX,77587-3714,WWW.AMNC.EDU
ITT Technical Institute-San Antonio,San Antonio,TX,78249-3303,www.itt-tech.edu
Remington College-Fort Worth Campus,Fort Worth,TX,76112-1225,www.remingtoncollege.edu/fort-worth-texas-career-schools-overview
University of Cosmetology Arts & Sciences-San Antonio Jamar,San Antonio,TX,78226,www.ucastx.com
School of Automotive Machinists,Houston,TX,77055-1803,www.samracing.com
SW School of Business and Technical Careers-Cosmetology,San Antonio,TX,78212-1901,www.sws.edu
SW School of Business & Technical Careers,Uvalde,TX,788015242,http://www.sws.edu
SW School of Business & Technical Careers,San Antonio,TX,782211003,http://www.sws.edu
SW School of Business and Technical Careers,Eagle Pass,TX,78852-4859,www.sws.edu
SW School of Business and Technical Careers-Del Rio,Del Rio,TX,788405865,http://www.sws.edu
SW School of Business and Technical Careers-North Campus,Austin,TX,787175865,http://www.sws.edu
SW School of Business and Technical Careers-South Campus,Austin,TX,787455865,http://www.sws.edu
Texas College of Cosmetology-Abilene,Abilene,TX,79605,www.texascollegecosmetology.com
Vista College-Online,Clearfield,UT,84015,vistacollege.edu
Centura College-Newport News,Newport News,VA,23608,www.centuracollege.edu
Centura College-Norfolk,Norfolk,VA,23518-4833,www.centuracollege.edu
Virginia Beach City Public Schools School of Practical Nursing,Virginia Beach,VA,23456-2499,www.techcenter.vbschools.com
Northwest College of Art & Design,Poulsbo,WA,98370,www.ncad.edu
University of Washington-Bothell Campus,Bothell,WA,98011-8246,www.uwb.edu
University of Washington-Tacoma Campus,Tacoma,WA,98402-3100,www.tacoma.uw.edu/
Huntington School of Beauty Culture-Main Campus,Huntington,WV,25705-2030,huntingtonschoolofbeauty.com/
Valley College-Beckley,Beckley,WV,25801,www.valley.edu
Valley College-Martinsburg,Martinsburg,WV,25404-6203,www.valley.edu
Valley College-Princeton,Princeton,WV,24740,www.valley.edu
Bellus Academy-Poway,Poway,CA,92064,www.bellusacademy.edu
Capstone College,Van Nuys,CA,91402,www.capstonecollege.edu/
